Starting... 
2024-07-23 20:12:33.699380: Namespace(data_dir='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018best', json_dir='/data4/nnUNet_raw_data_base/nnUNet_raw_data/Task018_AbdominalOrganSegmentation/', json_list='dataset.json', logdir='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018best', logfile='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018best/log_2024_7_23_20_12_33.txt', method='nnUnet', niidir='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018best/output_nii', organs_file='organs14BTCV.key', out_channels=14) 
2024-07-23 20:12:33.887018: Inference on case ABD_005.nii.gz 
2024-07-23 20:13:11.044940:  Organ 8 precision: 0.9790183112946315 
2024-07-23 20:13:11.044984:  Organ 8 recall: 0.8253114079470326 
2024-07-23 20:13:12.492722:  Organ 9 Dice: 0.8509780168533325 
2024-07-23 20:13:12.492914:  Organ 9 HD: 5.0990195135927845 
2024-07-23 20:13:12.492966:  Organ 9 IOU: 0.7406107306676338 
2024-07-23 20:13:12.493011:  Organ 9 precision: 0.9473933995519154 
2024-07-23 20:13:12.493055:  Organ 9 recall: 0.7723741778706585 
2024-07-23 20:13:13.998931:  Organ 10 Dice: 0.7760120034217834 
2024-07-23 20:13:13.999130:  Organ 10 HD: 6.978232998312448 
2024-07-23 20:13:13.999192:  Organ 10 IOU: 0.6340029716206944 
2024-07-23 20:13:13.999237:  Organ 10 precision: 0.8282001520308834 
2024-07-23 20:13:13.999288:  Organ 10 recall: 0.7300111567645882 
2024-07-23 20:13:15.439302:  Organ 11 Dice: 0.7148913741111755 
2024-07-23 20:13:15.439490:  Organ 11 HD: 7.0 
2024-07-23 20:13:15.439543:  Organ 11 IOU: 0.5562886599601542 
2024-07-23 20:13:15.439589:  Organ 11 precision: 0.8037155392927934 
2024-07-23 20:13:15.439632:  Organ 11 recall: 0.6437464753616995 
2024-07-23 20:13:16.839309:  Organ 12 Dice: 0.6798096299171448 
2024-07-23 20:13:16.839515:  Organ 12 HD: 2.0 
2024-07-23 20:13:16.839567:  Organ 12 IOU: 0.5149330603675487 
2024-07-23 20:13:16.839613:  Organ 12 precision: 0.8566533417666856 
2024-07-23 20:13:16.839657:  Organ 12 recall: 0.5634861023159801 
2024-07-23 20:13:18.235392:  Organ 13 Dice: 0.6923556923866272 
2024-07-23 20:13:18.235586:  Organ 13 HD: 4.289143989687851 
