Starting... 
2024-07-23 20:23:00.066562: Namespace(data_dir='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018', json_dir='/data4/nnUNet_raw_data_base/nnUNet_raw_data/Task018_AbdominalOrganSegmentation/', json_list='dataset.json', logdir='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018', logfile='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018/log_2024_7_23_20_23_00.txt', method='nnUnet', niidir='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018/output_nii', organs_file='organs14BTCV.key', out_channels=14) 
2024-07-23 20:23:00.252545: Inference on case ABD_005.nii.gz 
2024-07-23 20:23:50.859947:  Organ 4 precision: 0.9510847198829533 
2024-07-23 20:23:50.859992:  Organ 4 recall: 0.920821949043248 
2024-07-23 20:23:51.824085:  Organ 5 Dice: 0.8842268586158752 
2024-07-23 20:23:51.824274:  Organ 5 HD: 1.4142135623730951 
2024-07-23 20:23:51.824327:  Organ 5 IOU: 0.7924791088978487 
2024-07-23 20:23:51.824371:  Organ 5 precision: 0.8775939429646747 
2024-07-23 20:23:51.824414:  Organ 5 recall: 0.8909608542477425 
2024-07-23 20:23:53.780634:  Organ 6 Dice: 0.9709238409996033 
2024-07-23 20:23:53.780830:  Organ 6 HD: 3.4641016151377544 
2024-07-23 20:23:53.780883:  Organ 6 IOU: 0.9434907269179448 
2024-07-23 20:23:53.780929:  Organ 6 precision: 0.9663419521518509 
2024-07-23 20:23:53.780972:  Organ 6 recall: 0.9755493579255249 
2024-07-23 20:23:54.857990:  Organ 7 Dice: 0.93276447057724 
2024-07-23 20:23:54.858179:  Organ 7 HD: 2.0 
2024-07-23 20:23:54.858232:  Organ 7 IOU: 0.8740006242498378 
2024-07-23 20:23:54.858278:  Organ 7 precision: 0.9373519415056453 
2024-07-23 20:23:54.858322:  Organ 7 recall: 0.928221734926791 
2024-07-23 20:23:55.957752:  Organ 8 Dice: 0.949108898639679 
2024-07-23 20:23:55.957953:  Organ 8 HD: 8.774964387392123 
2024-07-23 20:23:55.958007:  Organ 8 IOU: 0.9031467158063007 
2024-07-23 20:23:55.958053:  Organ 8 precision: 0.9759642831038624 
2024-07-23 20:23:55.958097:  Organ 8 recall: 0.9236918302706125 
