Starting... 
2023-12-04 12:51:58.778794: Namespace(data_dir='/data3/predict_nii_nnUnet/nnUNetTrainerV2-018/', json_dir='/data4/nnUNet_raw_data_base/nnUNet_raw_data/Task018_AbdominalOrganSegmentation/', json_list='dataset.json', logdir='/data3/predict_nii_nnUnet/nnUNetTrainerV2-018/', logfile='/data3/predict_nii_nnUnet/nnUNetTrainerV2-018//log_2023_12_4_12_51_58.txt', method='nnUnet', niidir='/data3/predict_nii_nnUnet/nnUNetTrainerV2-018/output_nii', organs_file='organs14.key', out_channels=14) 
2023-12-04 12:51:59.245007: Inference on case ABD_005.nii.gz 
2023-12-04 12:52:40.113425: Inference on case ABD_031.nii.gz 
2023-12-04 12:52:42.264031:  Organ 1 Dice: 0.9478015899658203 
2023-12-04 12:52:42.264224:  Organ 1 HD: 18.333028476909565 
2023-12-04 12:52:42.264275:  Organ 1 IOU: 0.9007822149100603 
2023-12-04 12:52:42.264319:  Organ 1 precision: 0.9122241369786936 
2023-12-04 12:52:42.264361:  Organ 1 recall: 0.9862667908776132 
2023-12-04 12:52:43.251727:  Organ 2 Dice: 0.9627376794815063 
2023-12-04 12:52:43.251914:  Organ 2 HD: 1.0 
2023-12-04 12:52:43.251964:  Organ 2 IOU: 0.9281525107816729 
2023-12-04 12:52:43.252007:  Organ 2 precision: 0.9518937331486377 
2023-12-04 12:52:43.252048:  Organ 2 recall: 0.9738314851313826 
2023-12-04 12:52:44.237536:  Organ 3 Dice: 0.9570547342300415 
2023-12-04 12:52:44.237730:  Organ 3 HD: 1.4142135623730951 
2023-12-04 12:52:44.237785:  Organ 3 IOU: 0.9176461882016298 
2023-12-04 12:52:44.237829:  Organ 3 precision: 0.9622970962992566 
2023-12-04 12:52:44.237871:  Organ 3 recall: 0.9518691947555246 
2023-12-04 12:52:45.192780:  Organ 4 Dice: 0.9201864004135132 
2023-12-04 12:52:45.192963:  Organ 4 HD: 7.0 
2023-12-04 12:52:45.193013:  Organ 4 IOU: 0.8521715076889784 
2023-12-04 12:52:45.193056:  Organ 4 precision: 0.9681332495486278 
2023-12-04 12:52:45.193097:  Organ 4 recall: 0.8767645720191458 
2023-12-04 12:52:46.167461:  Organ 5 Dice: 0.8571213483810425 
2023-12-04 12:52:46.167652:  Organ 5 HD: 2.449489742783178 
2023-12-04 12:52:46.167702:  Organ 5 IOU: 0.7499670665920602 
2023-12-04 12:52:46.167746:  Organ 5 precision: 0.9095702190292855 
2023-12-04 12:52:46.167788:  Organ 5 recall: 0.8103914593446385 
2023-12-04 12:52:48.124328:  Organ 6 Dice: 0.9668766260147095 
2023-12-04 12:52:48.124518:  Organ 6 HD: 4.123105625617661 
2023-12-04 12:52:48.124569:  Organ 6 IOU: 0.9358771633150345 
2023-12-04 12:52:48.124612:  Organ 6 precision: 0.9650865885555221 
2023-12-04 12:52:48.124654:  Organ 6 recall: 0.9686732607275943 
2023-12-04 12:52:49.194605:  Organ 7 Dice: 0.8987100720405579 
2023-12-04 12:52:49.194793:  Organ 7 HD: 4.0 
2023-12-04 12:52:49.194843:  Organ 7 IOU: 0.8160521562119538 
2023-12-04 12:52:49.194886:  Organ 7 precision: 0.8989679937876838 
2023-12-04 12:52:49.194938:  Organ 7 recall: 0.8984522413307088 
2023-12-04 12:52:50.275728:  Organ 8 Dice: 0.9399285912513733 
2023-12-04 12:52:50.275918:  Organ 8 HD: 8.108593240551608 
2023-12-04 12:52:50.275969:  Organ 8 IOU: 0.8866654021397863 
2023-12-04 12:52:50.276012:  Organ 8 precision: 0.9757417623414728 
2023-12-04 12:52:50.276053:  Organ 8 recall: 0.9066513348517405 
2023-12-04 12:52:51.271920:  Organ 9 Dice: 0.8934630751609802 
2023-12-04 12:52:51.272107:  Organ 9 HD: 3.0 
2023-12-04 12:52:51.272157:  Organ 9 IOU: 0.80744085735943 
2023-12-04 12:52:51.272207:  Organ 9 precision: 0.8688714824802071 
2023-12-04 12:52:51.272249:  Organ 9 recall: 0.9194872975875643 
2023-12-04 12:52:52.313451:  Organ 10 Dice: 0.8314959406852722 
2023-12-04 12:52:52.313635:  Organ 10 HD: 4.123105625617661 
2023-12-04 12:52:52.313700:  Organ 10 IOU: 0.7115900956804967 
2023-12-04 12:52:52.313744:  Organ 10 precision: 0.8857222429579259 
2023-12-04 12:52:52.313786:  Organ 10 recall: 0.7835263202894586 
2023-12-04 12:52:53.335350:  Organ 11 Dice: 0.8647424578666687 
2023-12-04 12:52:53.335539:  Organ 11 HD: 3.0 
2023-12-04 12:52:53.335589:  Organ 11 IOU: 0.7617148316785968 
2023-12-04 12:52:53.335633:  Organ 11 precision: 0.8531189814216993 
2023-12-04 12:52:53.335674:  Organ 11 recall: 0.8766870997342733 
2023-12-04 12:52:54.274209:  Organ 12 Dice: 0.6666666865348816 
2023-12-04 12:52:54.274399:  Organ 12 HD: 3.6804096366844568 
2023-12-04 12:52:54.274448:  Organ 12 IOU: 0.5000000024509804 
2023-12-04 12:52:54.274491:  Organ 12 precision: 0.8939526740232018 
2023-12-04 12:52:54.274531:  Organ 12 recall: 0.5315268393354516 
2023-12-04 12:52:55.222473:  Organ 13 Dice: 0.7492361664772034 
2023-12-04 12:52:55.222664:  Organ 13 HD: 5.0990195135927845 
2023-12-04 12:52:55.222714:  Organ 13 IOU: 0.599022925219756 
2023-12-04 12:52:55.222757:  Organ 13 precision: 0.9370958263545219 
2023-12-04 12:52:55.222798:  Organ 13 recall: 0.6241190304458926 
2023-12-04 12:52:55.223116: Mean Organ Dice: 0.8812323808670044 
2023-12-04 12:52:55.223199: Mean Organ mean_HD: 5.025458878779232 
2023-12-04 12:52:55.223253: Mean Organ mean_IOU: 0.797467917094649 
2023-12-04 12:52:55.223304: Mean Organ mean_precision: 0.9217443066866721 
2023-12-04 12:52:55.223352: Mean Organ mean_recall: 0.8544805328023839 
2023-12-04 12:52:55.346586: Inference on case ABD_033.nii.gz 
2023-12-04 12:52:57.671212:  Organ 1 Dice: 0.9642163515090942 
2023-12-04 12:52:57.671403:  Organ 1 HD: 1.0 
2023-12-04 12:52:57.671455:  Organ 1 IOU: 0.9309051132777224 
2023-12-04 12:52:57.671498:  Organ 1 precision: 0.9826995928141827 
2023-12-04 12:52:57.671540:  Organ 1 recall: 0.9464155066337842 
2023-12-04 12:52:58.785367:  Organ 2 Dice: 0.9260995984077454 
2023-12-04 12:52:58.785556:  Organ 2 HD: 2.0 
2023-12-04 12:52:58.785608:  Organ 2 IOU: 0.8623700887373422 
2023-12-04 12:52:58.785652:  Organ 2 precision: 0.9921550328829299 
2023-12-04 12:52:58.785694:  Organ 2 recall: 0.8682907531879878 
2023-12-04 12:52:59.878430:  Organ 3 Dice: 0.8088994026184082 
2023-12-04 12:52:59.878624:  Organ 3 HD: 10.63014581273465 
2023-12-04 12:52:59.878674:  Organ 3 IOU: 0.6791193307478434 
2023-12-04 12:52:59.878717:  Organ 3 precision: 0.9670922270518216 
2023-12-04 12:52:59.878759:  Organ 3 recall: 0.6951841768935716 
2023-12-04 12:53:00.953813:  Organ 4 Dice: 0.7580208778381348 
2023-12-04 12:53:00.954002:  Organ 4 HD: 9.899494936611665 
2023-12-04 12:53:00.954054:  Organ 4 IOU: 0.6103330490091092 
2023-12-04 12:53:00.954098:  Organ 4 precision: 0.8434033516126938 
2023-12-04 12:53:00.954139:  Organ 4 recall: 0.688336704528232 
2023-12-04 12:53:02.038363:  Organ 5 Dice: 0.7722511291503906 
2023-12-04 12:53:02.038555:  Organ 5 HD: 3.0 
2023-12-04 12:53:02.038607:  Organ 5 IOU: 0.6289976393764781 
2023-12-04 12:53:02.038651:  Organ 5 precision: 0.928843106293434 
2023-12-04 12:53:02.038693:  Organ 5 recall: 0.660841132415333 
2023-12-04 12:53:03.864645:  Organ 6 Dice: 0.9412715435028076 
2023-12-04 12:53:03.864832:  Organ 6 HD: 3.0 
2023-12-04 12:53:03.864883:  Organ 6 IOU: 0.8890584916384042 
2023-12-04 12:53:03.864926:  Organ 6 precision: 0.9840826421719916 
2023-12-04 12:53:03.864967:  Organ 6 recall: 0.9020300073964072 
2023-12-04 12:53:05.395703:  Organ 7 Dice: 0.8567779064178467 
2023-12-04 12:53:05.395889:  Organ 7 HD: 30.656094528775544 
2023-12-04 12:53:05.395940:  Organ 7 IOU: 0.7494413634350974 
2023-12-04 12:53:05.395983:  Organ 7 precision: 0.9503325356429513 
2023-12-04 12:53:05.396024:  Organ 7 recall: 0.7799922880549001 
